video_name,frame_id,shed_decision
seed949563-1-train,117,False
seed949563-0-train,117,False
seed10484-3-train,117,False
seed10484-1-train,118,True
seed335500-0-train,118,True
seed949563-3-train,119,True
seed949563-1-train,119,True
seed949563-0-train,119,True
seed10484-3-train,119,True
seed949563-2-train,119,True
seed10484-1-train,119,True
seed335500-0-train,119,True
seed949563-3-train,120,True
seed949563-1-train,120,True
seed949563-0-train,120,True
seed10484-3-train,120,True
seed949563-2-train,120,True
seed10484-1-train,120,True
seed335500-0-train,120,True
seed949563-3-train,121,True
seed949563-1-train,121,True
seed949563-0-train,121,True
seed10484-3-train,121,True
seed949563-2-train,121,True
seed10484-1-train,121,True
seed335500-0-train,121,True
seed949563-3-train,122,True
seed949563-1-train,122,True
seed949563-0-train,122,True
seed10484-3-train,122,True
seed949563-2-train,117,False
seed10484-1-train,117,False
seed949563-2-train,122,True
seed949563-3-train,123,True
seed949563-1-train,123,True
seed949563-0-train,123,True
seed10484-3-train,123,True
seed949563-2-train,123,True
seed10484-1-train,123,True
seed335500-0-train,123,True
seed949563-3-train,124,True
seed949563-1-train,124,True
seed949563-0-train,124,True
seed10484-3-train,124,True
seed949563-2-train,124,True
seed10484-1-train,124,True
seed335500-0-train,124,True
seed949563-3-train,125,True
seed949563-1-train,125,True
seed949563-0-train,125,True
seed10484-3-train,125,True
seed949563-2-train,125,True
seed10484-1-train,125,True
seed335500-0-train,125,True
seed949563-3-train,126,True
seed949563-1-train,126,True
seed949563-0-train,126,True
seed10484-3-train,126,True
seed949563-2-train,126,True
seed10484-1-train,126,True
seed335500-0-train,126,True
seed949563-3-train,127,True
seed949563-1-train,127,True
seed949563-0-train,127,True
seed10484-3-train,127,True
seed949563-2-train,127,True
seed10484-1-train,127,True
seed335500-0-train,117,False
seed949563-3-train,118,True
seed949563-1-train,118,True
seed949563-0-train,118,True
seed10484-3-train,118,True
seed949563-2-train,118,True
seed335500-0-train,127,True
seed10484-1-train,122,False
seed949563-3-train,129,True
seed949563-1-train,129,True
seed949563-0-train,129,True
seed10484-3-train,129,True
seed949563-2-train,129,True
seed10484-1-train,129,True
seed335500-0-train,129,True
seed949563-3-train,130,True
seed949563-0-train,130,True
seed10484-3-train,130,True
seed949563-2-train,130,True
seed10484-1-train,130,True
seed335500-0-train,130,True
seed949563-3-train,131,True
seed949563-0-train,131,True
seed10484-3-train,131,True
seed949563-2-train,131,True
seed10484-1-train,131,True
